thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
376.0,231.0,271.0,280.0,243.0,16544.0,28.0,3764.0,-444.0,-81.0,-89.0,-13200.0,1628.0,7852.0,-45.0,-184.0,-186.0,1.0,A
376.0,231.0,271.0,280.0,243.0,16544.0,-252.0,3408.0,-545.0,-35.0,-11.0,-13392.0,1532.0,7756.0,106.0,152.0,-223.0,1.0,A
377.0,231.0,271.0,280.0,243.0,16704.0,-36.0,3480.0,-339.0,26.0,-101.0,-13316.0,1632.0,7548.0,-109.0,88.0,-39.0,1.0,A
376.0,231.0,272.0,280.0,243.0,16632.0,-272.0,3564.0,-454.0,175.0,-17.0,-13516.0,1920.0,8036.0,-170.0,95.0,-101.0,1.0,A
377.0,231.0,272.0,280.0,244.0,16308.0,-124.0,3900.0,-274.0,147.0,133.0,-13500.0,1728.0,7864.0,-118.0,-9.0,-6.0,1.0,A
377.0,232.0,272.0,280.0,244.0,16532.0,-196.0,3672.0,-350.0,-100.0,6.0,-13208.0,1636.0,7864.0,11.0,131.0,-102.0,1.0,A
377.0,231.0,272.0,280.0,244.0,16592.0,-284.0,3664.0,-430.0,-62.0,-83.0,-13200.0,1756.0,7816.0,-111.0,13.0,-249.0,1.0,A
376.0,232.0,272.0,280.0,245.0,16552.0,-56.0,3532.0,-288.0,103.0,-65.0,-13280.0,1892.0,7924.0,-92.0,90.0,-144.0,1.0,A
376.0,232.0,273.0,280.0,245.0,16356.0,-20.0,3740.0,-424.0,-15.0,121.0,-13220.0,1812.0,8068.0,-67.0,166.0,-61.0,1.0,A
377.0,232.0,273.0,280.0,245.0,16688.0,-68.0,3616.0,-257.0,47.0,-75.0,-13436.0,1552.0,7740.0,-124.0,125.0,-28.0,1.0,A
377.0,232.0,273.0,281.0,245.0,16576.0,-8.0,3712.0,-417.0,-11.0,-45.0,-13308.0,1836.0,7736.0,-176.0,145.0,-55.0,1.0,A
377.0,232.0,273.0,280.0,246.0,16640.0,-256.0,3752.0,-307.0,1.0,-45.0,-13360.0,1600.0,7708.0,-128.0,130.0,-118.0,1.0,A
377.0,233.0,274.0,281.0,246.0,16576.0,-304.0,3724.0,-326.0,-43.0,-20.0,-13444.0,1848.0,7784.0,-192.0,139.0,-145.0,1.0,A
377.0,233.0,274.0,281.0,246.0,16472.0,12.0,3804.0,-347.0,37.0,-27.0,-13304.0,1692.0,7920.0,-138.0,-41.0,-116.0,1.0,A
376.0,233.0,274.0,281.0,246.0,16760.0,-248.0,3568.0,-441.0,-81.0,41.0,-13344.0,1756.0,7760.0,-83.0,112.0,-136.0,1.0,A
377.0,233.0,274.0,281.0,246.0,16416.0,-76.0,3888.0,-349.0,-7.0,19.0,-13516.0,1596.0,7652.0,-163.0,56.0,-59.0,1.0,A
